(UTC+10) Hobart;Australia/Hobart
(UTC+10) Magadan;Asia/Magadan
(UTC+10) Vladivostok, Magadan (RTZ 9);Asia/Vladivostok
(UTC+11) Chokurdakh (RTZ 10);Asia/Vladivostok
(UTC+11) Solomon Is., New Caledonia;Pacific/Noumea
(UTC+12) Anadyr, Petropavlovsk-Kamchatsky (RTZ 11);Asia/Anadyr
(UTC+12) Auckland, Wellington;Pacific/Auckland
(UTC+12) Coordinated Universal Time+12;Etc/GMT-12
(UTC+12) Fiji;Pacific/Fiji
(UTC+13) Nuku'alofa;Pacific/Tongatapu
(UTC+13) Samoa;Etc/GMT-13
(UTC+14) Kiritimati Island;Pacific/Kiritimati
