Time,EURUSD_dailyvol,EURUSD_threshol
2018-01-08 22:00:00,0.36905,0.43000
2018-01-08 23:00:00,0.36692,0.43000
2018-01-09 00:00:00,0.36482,0.43000
2018-01-09 01:00:00,0.36269,0.43000
2018-01-09 02:00:00,0.36096,0.43000
2018-01-09 03:00:00,0.35884,0.43000
2018-01-09 04:00:00,0.35684,0.43000
2018-01-09 05:00:00,0.35482,0.43000
2018-01-09 06:00:00,0.35231,0.43000
2018-01-09 07:00:00,0.35019,0.43000
2018-01-09 08:00:00,0.34803,0.43000
2018-01-09 09:00:00,0.34639,0.43000
2018-01-09 10:00:00,0.34541,0.43000
2018-01-09 11:00:00,0.34395,0.43000
2018-01-09 12:00:00,0.34136,0.43000
2018-01-09 13:00:00,0.33809,0.43000
2018-01-09 14:00:00,0.33584,0.43000
2018-01-09 15:00:00,0.33405,0.43000
2018-01-09 16:00:00,0.33214,0.43000
2018-01-09 17:00:00,0.33047,0.43000
2018-01-09 18:00:00,0.32881,0.43000
2018-01-09 19:00:00,0.32663,0.43000
2018-01-09 20:00:00,0.32470,0.43000
2018-01-09 21:00:00,0.32306,0.43000
2018-01-09 22:00:00,0.32152,0.43000
2018-01-09 23:00:00,0.32009,0.43000
2018-01-10 00:00:00,0.31895,0.43000
2018-01-10 01:00:00,0.31802,0.43000
2018-01-10 02:00:00,0.31706,0.43000
2018-01-10 03:00:00,0.31618,0.43000
2018-01-10 04:00:00,0.31541,0.43000
2018-01-10 05:00:00,0.31474,0.43000
2018-01-10 06:00:00,0.31465,0.43000
2018-01-10 07:00:00,0.31438,0.43000
2018-01-10 08:00:00,0.31382,0.43000
2018-01-10 09:00:00,0.31334,0.43000
2018-01-10 10:00:00,0.31262,0.43000
2018-01-10 11:00:00,0.32397,0.43000
2018-01-10 12:00:00,0.33610,0.43000
2018-01-10 13:00:00,0.34810,0.43000
2018-01-10 14:00:00,0.35876,0.43000
2018-01-10 15:00:00,0.37042,0.43000
2018-01-10 16:00:00,0.38135,0.43000
2018-01-10 17:00:00,0.39261,0.43000
2018-01-10 18:00:00,0.40324,0.43000
2018-01-10 19:00:00,0.41287,0.43000
2018-01-10 20:00:00,0.42219,0.43000
2018-01-10 21:00:00,0.43084,0.43000
2018-01-10 22:00:00,0.43902,0.43000
2018-01-10 23:00:00,0.44657,0.43000
2018-01-11 00:00:00,0.45357,0.43000
2018-01-11 01:00:00,0.46009,0.43000
2018-01-11 02:00:00,0.46594,0.43000
2018-01-11 03:00:00,0.47150,0.43000
2018-01-11 04:00:00,0.47767,0.43000
2018-01-11 05:00:00,0.48357,0.43000
2018-01-11 06:00:00,0.48888,0.43000
2018-01-11 07:00:00,0.49404,0.43000
2018-01-11 08:00:00,0.49902,0.43000
2018-01-11 09:00:00,0.50314,0.43000
2018-01-11 10:00:00,0.50722,0.43000
2018-01-11 11:00:00,0.50168,0.43000
2018-01-11 12:00:00,0.49480,0.43000
2018-01-11 13:00:00,0.49961,0.43000
2018-01-11 14:00:00,0.50566,0.43000
2018-01-11 15:00:00,0.50976,0.43000
2018-01-11 16:00:00,0.51355,0.43000
2018-01-11 17:00:00,0.51613,0.43000
2018-01-11 18:00:00,0.51832,0.43000
2018-01-11 19:00:00,0.52060,0.43000
2018-01-11 20:00:00,0.52229,0.43000
2018-01-11 21:00:00,0.52389,0.43000
2018-01-11 22:00:00,0.52520,0.43000
2018-01-11 23:00:00,0.52650,0.43000
2018-01-12 00:00:00,0.52783,0.43000
2018-01-12 01:00:00,0.52988,0.43000
2018-01-12 02:00:00,0.53222,0.43000
2018-01-12 03:00:00,0.53399,0.43000
2018-01-12 04:00:00,0.53457,0.43000
2018-01-12 05:00:00,0.53494,0.43000
2018-01-12 06:00:00,0.53553,0.43000
2018-01-12 07:00:00,0.53577,0.43000
2018-01-12 08:00:00,0.53695,0.43000
2018-01-12 09:00:00,0.54547,0.43000
2018-01-12 10:00:00,0.55393,0.43000
2018-01-12 11:00:00,0.56182,0.43000
2018-01-12 12:00:00,0.56936,0.43000
2018-01-12 13:00:00,0.56683,0.43000
2018-01-12 14:00:00,0.56499,0.43000
2018-01-12 15:00:00,0.56524,0.43000
2018-01-12 16:00:00,0.56572,0.43000
2018-01-12 17:00:00,0.56755,0.43000
2018-01-12 18:00:00,0.56940,0.43000
2018-01-12 19:00:00,0.57248,0.43000
2018-01-12 20:00:00,0.57606,0.43000
2018-01-12 21:00:00,0.57935,0.43000
2018-01-14 23:00:00,0.58393,0.43000
2018-01-15 00:00:00,0.58869,0.43000
2018-01-15 01:00:00,0.59302,0.43000
2018-01-15 02:00:00,0.59664,0.43000
2018-01-15 03:00:00,0.59988,0.43000
2018-01-15 04:00:00,0.60291,0.43000
2018-01-15 05:00:00,0.60594,0.43000
2018-01-15 06:00:00,0.60995,0.43000
2018-01-15 07:00:00,0.61392,0.43000
2018-01-15 08:00:00,0.61797,0.43000
2018-01-15 09:00:00,0.62117,0.43000
2018-01-15 10:00:00,0.61932,0.43000
2018-01-15 11:00:00,0.61894,0.43000
2018-01-15 12:00:00,0.61969,0.43000
2018-01-15 13:00:00,0.62061,0.43000
2018-01-15 14:00:00,0.62176,0.43000
2018-01-15 15:00:00,0.62221,0.43000
2018-01-15 16:00:00,0.62080,0.43000
2018-01-15 17:00:00,0.62057,0.43000
2018-01-15 18:00:00,0.61928,0.43000
2018-01-15 19:00:00,0.61793,0.43000
2018-01-15 20:00:00,0.61502,0.43000
2018-01-15 21:00:00,0.61167,0.43000
2018-01-15 22:00:00,0.60842,0.43000
2018-01-15 23:00:00,0.60370,0.43000
2018-01-16 00:00:00,0.59892,0.43000
2018-01-16 01:00:00,0.59442,0.43000
2018-01-16 02:00:00,0.59008,0.43000
2018-01-16 03:00:00,0.58636,0.43000
2018-01-16 04:00:00,0.58324,0.43000
2018-01-16 05:00:00,0.58030,0.43000
2018-01-16 06:00:00,0.57585,0.43000
2018-01-16 07:00:00,0.57196,0.43000
2018-01-16 08:00:00,0.57246,0.43000
2018-01-16 09:00:00,0.57521,0.43000
2018-01-16 10:00:00,0.57562,0.43000
2018-01-16 11:00:00,0.57575,0.43000
2018-01-16 12:00:00,0.57489,0.43000
2018-01-16 13:00:00,0.57449,0.43000
2018-01-16 14:00:00,0.57432,0.43000
2018-01-16 15:00:00,0.57341,0.43000
2018-01-16 16:00:00,0.57333,0.43000
2018-01-16 17:00:00,0.57215,0.43000
2018-01-16 18:00:00,0.57050,0.43000
2018-01-16 19:00:00,0.57006,0.43000
2018-01-16 20:00:00,0.56997,0.43000
2018-01-16 21:00:00,0.56969,0.43000
2018-01-16 22:00:00,0.56961,0.43000
2018-01-16 23:00:00,0.56964,0.43000
2018-01-17 00:00:00,0.57011,0.43000
2018-01-17 01:00:00,0.57592,0.43000
2018-01-17 02:00:00,0.58137,0.43000
2018-01-17 03:00:00,0.58702,0.43000
2018-01-17 04:00:00,0.59228,0.43000
2018-01-17 05:00:00,0.59755,0.43000
2018-01-17 06:00:00,0.60287,0.43000
2018-01-17 07:00:00,0.60873,0.43000
2018-01-17 08:00:00,0.61120,0.43000
2018-01-17 09:00:00,0.61203,0.43000
2018-01-17 10:00:00,0.61336,0.43000
2018-01-17 11:00:00,0.61293,0.43000
2018-01-17 12:00:00,0.61357,0.43000
2018-01-17 13:00:00,0.61338,0.43000
2018-01-17 14:00:00,0.61345,0.43000
2018-01-17 15:00:00,0.61312,0.43000
2018-01-17 16:00:00,0.61307,0.43000
2018-01-17 17:00:00,0.61274,0.43000
2018-01-17 18:00:00,0.61326,0.43000
2018-01-17 19:00:00,0.61491,0.43000
2018-01-17 20:00:00,0.61848,0.43000
2018-01-17 21:00:00,0.62292,0.43000
2018-01-17 22:00:00,0.62911,0.43000
2018-01-17 23:00:00,0.63565,0.43000
2018-01-18 00:00:00,0.64169,0.43000
2018-01-18 01:00:00,0.64321,0.43000
2018-01-18 02:00:00,0.64455,0.43000
2018-01-18 03:00:00,0.64461,0.43000
2018-01-18 04:00:00,0.64498,0.43000
2018-01-18 05:00:00,0.64509,0.43000
2018-01-18 06:00:00,0.64508,0.43000
2018-01-18 07:00:00,0.64341,0.43000
2018-01-18 08:00:00,0.64180,0.43000
2018-01-18 09:00:00,0.63900,0.43000
2018-01-18 10:00:00,0.63606,0.43000
2018-01-18 11:00:00,0.63330,0.43000
2018-01-18 12:00:00,0.62977,0.43000
2018-01-18 13:00:00,0.62682,0.43000
2018-01-18 14:00:00,0.62380,0.43000
2018-01-18 15:00:00,0.62144,0.43000
2018-01-18 16:00:00,0.61927,0.43000
2018-01-18 17:00:00,0.61779,0.43000
