Error during initialization.;Fehler bei der Initialisierung
Weighted Fitness (multiple goals);Gewichtete Eignung (verschiedene Ziele)
Hour;Stunde
Day;Tag
Week;Woche
Month;Monat
no;nr
N/A;K/A
Strategy '%s' doesn't exist.;Strategie '%s' existiert nicht.
%d entry blocks, %d exit types;%d Einstiegsblöcke, %d Ausstiegstypen
Building blocks;Blöcke
yes;ja
Cross checks;Cross-Checks
Data;Daten
Filtering;Filter
Go To Task;Gehe zur Aufgabe
Money Management method;Moneymanagement Methode
Risk Management method;Risikomanagement Method
Money management;Moneymanagement
Note;Notizen
SMTP server is not configured.;SMTP-Server ist nicht konfiguriert.
Email is not valid.;E-Mail ist ungültig.
Notification;Benachrichtigung
Optimization;Optimierung
Options settings not found in XML config;Optionen-Einstellungen nicht in der XML-Konfiguration gefunden
Trading options;Trading-Optionen
No parameters selected;Keine Parameter ausgewählt
Cannot get distribution value;Verteilungswert kann nicht ermittelt werden
Cannot get maxSteps value;maxSteps-Wert kann nicht ermittelt werden
Parameters;Parameter
Parts to improve;Bereiche zum Verbessern
Cannot find XML Task element ;XML Aufgaben-Element nicht gefunden
Cannot recognize task type;Aufgabentyp kann nicht erkannt werden
Max strategies count not set or invalid;Max. Strategienanzahl nicht definiert oder ungültig
Passed strategies count not set or has invalid value;Die Anzahl bestandener Strategien ist nicht definiert oder hat einen ungültigen Wert
Stop condition type not set;Stopbedingungs-Typ nicht festgelegt
Cannot load custom filters.;Benutzerdefinierte Filter können nicht geladen werden.
Cannot load automatic filters.;Automatische Filter können nicht geladen werden.
Cannot load fitness function;Eignungsfunktionen können nicht geladen werden
Maximum top strategies to store;Maximalanzahl bester Strategien zum Speichern
Fitness computation;Eignungs-Berechnung
Rankings;Ranking
Islands number must be between 1 and 100;Inselanzahl muss sich zwischen 1 und 100 bewegen
Improve type not set;Verbesserungstyp nicht eingestellt
Improve strategy file not set;Strategieverbesserungs-Datei nicht eingestellt
Improve databank not set;Verbesserungsdatenbank nicht eingestellt
Additional charts number not set or invalid;Anzahl zusätzlicher Charts nicht eingestellt oder ungültig
Simple strategies;Einfache Strategien
Multi-symbol/Multi-TF strategies;Multi-Symbol/Multi-TF Strategien
Strategies using template;Strategien nach Vorlage
Improve existing strategy;Existierende Strategie verbessern
Strategy type;Strategietyp
What to build;Whas generieren?
What to retest;Was erneut testen?
Restarting genetic evolution;Starte genetische Evolution erneut
GRID: Stopping build, job failures (exceptions) exceeded 70%!;GRID: Generierung angehalten, Fehler (Ausnahmen) überschreiten 70%!
Loading data and starting test run...;Lade Daten und starte Testlauf…
Test run finished ok;Testlauf abgeschlossen ok
Starting strategies generation...;Starte Strategiegenerierung…
Build finished because databank is full;Generierung abgeschlossen, weil die Datenbank voll ist
Build finished because totally %d strategies were generated, excluding dismissed;Generierung beendet, weil insgesamt %d Strategien generiert wurden, abzüglich der verworfenen
Created new batch of strategies, evaluating them...;Neuer Stapel an Strategien erstellt, auswerten…
Starting strategies filtering...;Starte Strategiefilterung…
%s, deleted: %s;%s, gelöscht: %s
%s, copied: %s;%s, kopiert: %s
%s, moved: %s;%s, verschoben: %s
No conditions;Keine Bedingungen
fit %s;geeignet %s
not fit %s;nicht geeignet %s
Going to task: %s, %s;Gehe zu Aufgabe: %s, %s
Task notification for project %s;Aufgabenbenachrichtigung für Projekt %s
Note - Project is paused, waiting for your action.;Hinweis - Projekt ist pausiert, warte auf Anweisung.
Please don't reply to this email, it is not watched!;Bitte nicht auf diese E-Mail antworten, Adresse wird nicht überwacht!
SQ Task notification for project %s;SQ Aufgabenbenachrichtigung für Projekt %s
Task notification was successfully sent.;Aufgabenbenachrichtigung wurde erfolgreich gesendet.
Task notification could not be sent. Please check your SMTP settings.;Aufgabenbenachrichtigung konnte nicht gesendet werden. Bitte überprüfe deine SMTP-Einstellungen.
Project is paused, waiting for your action.;Projekt ist pausiert, warte auf Anweisung.
Starting optimization...;Starte Optimierung...
Starting strategies retesting...;Starte erneuten Test der Strategien…
No strategies in databank, nothing to retest!;Keine Strategien in der Datenbank, nichts zum erneuten Testen!
Result '%s' doesn't contain strategy, skipping!;Ergebnis '%s' enthält keine Strategie, wird übersprungen!
GRID: Stopping retest, job failures (exceptions) exceeded 70%!;GRID: Erneuten Test angehalten, Fehler (Ausnahmen) überschreiten 70%!
GRID: Error while processing strategy result - %s;GRID: Fehler beim Verarbeiten des Strategieergebnisses - %s
GRID: Error while creating batch of jobs - %s;GRID: Fehler beim Erstellen des Aufgabenstapels - %s
File;Datei
New...;Neu...
Save;Speichern
Save As;Speichern unter
Edit;Bearbeiten
Undo;Rückgängig
Redo;Wiederholen
Find (Ctrl + F);Finden (Ctrl + F)
Find next (F3);Nächstes Finden (F3)
Replace (Ctrl + H);Ersetzen (Ctrl + H)
Find in files;In Dateien finden
Tools;Werkzeuge
Compile;Kompilieren
Recompile all;Alle rekompilieren
Fix imports;Importe reparieren
Help;Hilfe
About QuantEditor;Übef den QuantEditor
Are you sure you want to exit?;Möchtest du wirklich beenden?
User Confirmation;Benutzerbestätigung
Description;Beschreibung
Line;Zeile
Column;Spalte
Ready;Bereit
Monitor;Monitor
Heap;Heap
Used: %.2f MB;Verwendet: %.2f MB
Enter name of cloned file;Name der geklonten Datei eingeben
Class name cannot be blank.;Klassenname darf nicht leer sein.
File name cannot contain spaces or special characters.;Dateiname darf keine Leer- oder Sonderzeichen enthalten.
Please choose a different name.;Bitte einen anderen Namen auswählen.
A file with this name already exists.;Eine Dtei mit diesem Namen existiert bereits.
An error has occurred while cloning the file.;Beim Klonen der Datei ist ein Fehler aufgetreten.
Please see the Log for more details.;Bitte überprüfe das Log für weitere Details.
An error has occurred while creating the new file.;Beim erstellen der neuen Datei ist ein Fehler aufgetreten.
Name your file;Benenne deine Datei
(Special characters or spaces are not allowed);(Special characters or spaces are not allowed)
Choose template;Vorlage auswählen
Create New;Neu erstellen
An error occurred while saving the file.;Beim speichern der Datei ist ein Fehler aufgetreten
The file with given name already exists, do you want to overwrite it?;Die Datei mit dem angegebenen Namen existiert bereits, möchtest du sie überschreiben?
Confirm file overwrite;Überschreiben der Datei bestätigen
Log;Log
Search;Suche
Navigator;Navigator
Live;Live
Original;Original
New;Neu
Save As..;Speichern unter..
Recompile All;Alle rekompilieren
File '%s' contains unsaved changes.\nDo you really want to close it?;Datei '%s' enthält nicht gespeicherte Änderungen.\nMöchtest du sie wirklich schließen?
Warning;Warnung
Close Others;Andere schließen
Close All;Alle schließen
Collapse All;Alle minimieren
Expand All;Alle erweitern
Type here to filter.;Zum Filtern hier eingeben.
Original version;Originalversion
This is the original, non-editable version of this Snippet from StrategyQuant. You can use it as reference point when you are editing the Live version of this snippet, and you can always revert to this original version.;Dies ist die originale, nicht editierbare Version dieses Snippets aus StrategyQuant. Du kannst sie als Referenzpunkt beim Editieren der Live-Version dieses Snippets verwenden, und du kannst diese Originalversion jederzeit wiederherstellen.
#NAME?;#NAME?
#NAME?;#NAME?
#NAME?;#NAME?
New Directory;Neues Verzeichnis
Refresh;Aktualisieren
Open;Öffnen
Delete;Löschen
Rename;Umbenennen
Reload from Disk;Neuladen vom Laufwerk
Revert to original;Originalversion wiederherstellen
New File;Neue Datei
Clone;Klonen
Do you really want to replace the file with original version?;Möchtest du die Datei wirklich mit der Originalversion ersetzen?
Are you sure you want to remove '%s';Möchtest du '%s' wirklich entfernen
Do you really want to refresh '%s' from disc? Unsaved changes will be lost.;Möchtest du '%s' wirklich vom Laufwerk aktualisieren? Nicht gespeicherte Änderungen gehen verloren.
Are you sure you want to rename?;Möchtest du wirklich umbenennen?
Cannot rename file.;Kann Datei nicht umbenennen.
Please check  if this file is open in another program.;Bitte überprüfe, ob die Datei in einem anderen Programm geöffnet ist.
An error has occurred while renaming the file.;Beim Umbenennen der Datei ist ein Fehler aufgetreten.
Enter a new name;Gib einen neuen Namen ein.
Find what;Was finden
Find;Finden
No files found.;Keine Dateien gefunden.
No search results available. Start a search from Edit > Find in files;Keine Suchergebnisse verfügbar. Starte eine Suche über Bearbeiten > In Dateien finden
Initializing database & settings...;Initialisiere Datenbank & Einstellungen...
Checking updates...;Überprüfe Updates...
Compiling snippets...;Kompiliere Snippets...
Loading performance settings...;Lade Performance-Einstellungen...
Initializing building blocks...;Initialisiere Blöcke...
Loading plugins...;Lade Plugins...
Initializing stats computer...;Initialisiere Statistiken-Computer...
Initializing look & feel...;Initialisiere Look&Feel…
Initializing engines...;Initialisiere Engines...
Initializing communication channels...;Initialisiere Kommunikationskanäle...
Checking data...;Überprüfe Daten...
You cannot disable random placeholders, because your strategy already contains them. Delete your random placeholders from this strategy first.;Du kannst die zufälligen Platzhalter nicht deaktivieren, da deine Strategie sie bereits enthält. Entferne zuerst die zufälligen Platzhalter aus deiner Strategie.
Are you sure you want to remove the rule?;Bist du sicher, dass du die Regel entfernen möchtest?
Non-existing action;Nichtexistente Handlung
Simple Wizard is disabled for now.;Der einfache Wizard ist aktuell deaktiviert.
Empty;Leer
You cannot delete this chart, because it is used in one or more conditions. Change your conditions properties first.;Du kannst diesen Chart nicht löschen, weil er in einer oder mehreren Bedingungen verwendet wird. Ändere zuerst die Eigenschaften deiner Bedingungen.
The MainChart can not be deleted.;Der Hauptchart kann nicht gelöscht werden.
Choose save directory before saving.;Wähle vor dem Speichern das Speicherverzeichnis aus.
Market;Markt
Stop;Stop
Limit;Limit
Buy;Kaufen
Sell;Verkaufen
Sell Short;Short verkaufen
Buy to cover;Kaufen zur Deckung
none;keine
reload;neu laden
Load;Laden
Load from file...;Laden aus Datei…
Recent;Letzte
Save as...;Speichern als…
Examples;Beispiele
Get source code;Quellcode anzeigen
Strategy;Strategie
Backtest;Backtest
Result;Ergebnis
Back To Strategy Editor;Zurück zum Strategieeditor
Benchmark StrategyQuant speed;StrategyQuant-Geschwindigkeit messen
estimate strategy testing time we have to run some initial benchmarks of StrategyQuant speed on this computer.;zum Messen der Strategietestdauer müssen wir einige anfängliche Messungen der StrategyQuant-Geschwindigkeit auf diesem Computer durchführen.
This benchmark will use your actual performance settings, which is:;Diese Messung nutzt die aktuellen Performanceeinstellungen:
Please be patient, benchmark shouldn't take more than a couple of minutes.;Bitte warten, die Messung sollte nur ein paar Minuten dauern.
Start benchmark;Messung starten
Benchmark results;Messungsergebnis
Total duration (data preparation / test);Gesamtdauer (Datenvorbereitung / Test)
Strategy avg. time (parallel);Durchschn. Strategiezeit (Parallel)
Time per tick;Zeit pro Tick
Total ticks;Ticks insgesamt
Strategies per hour;Strategien pro Stunde
You can repeat this benchmark by choosing Benchmark... action in the global menu on the top right corner.;Du kannst die Messung wiederholen, indem du die Benchmark... Aktion im globalen Menü in der oberen rechten Ecke nutzt.
Please note that benchmark runs using standardized artifical strategy and data, so its result can be compared with other installations of SQ on another computers.;Bitte beachte, dass die Messung mit künstlichen Strategien und Daten läuft, damit ihr Ergebnis mit anderen SQ-Installationen auf anderen Computern verglichen werden kann.
It is only an estimation, real backtest time depends a lot on the complexity of the strategy, timeframe and data range and precision.;Es handelt sich nur um eine Schätzung, die reale Backtestdauer hängt stark von der Komplexität der Strategie, Timeframe, Datenbereich und Präzision ab.
beforeStart;vorDemStart
Single threaded.;Einzelthread.
Reserve 1 core for UI, compute tasks in parallel on all remaining cores.;Reserviere 1 Kern für das UI, berechne Aufgaben parallel auf allen verbleibenden Kernen.
Custom number of cores - %d.;Benutzerdefinierte Kernanzahl - %d.
Max performance - running multiple tasks in parallel, using all processor cores.;Max. Leistung - bearbeite mehrere Aufgaben parallel, unter Verwendung aller Prozessorkerne.
running;arbeitet
showResults;zeigeErgebnisse
Predefined parameter sets;Vordefinierte Parameter-Sets
Parameters of this building block. They can be generated randomly or have fixed value - you can configure it for every parameter by double-clicking on it in the grid below.;Parameter dieses Blocks. Sie können zufällig generiert werden oder einen festen Wert haben - du kannst dies für jeden Parameter durch einen Doppelklick unten in der Liste festlegen.
Parameters are either generated all randomly as defined in tab;Parameter werden entweder komplett zufällig generiert, wie in der Registerkarte definiert
Parameter name;Parametername
Type;Typ
Generation;Generation
Possible values;Mögliche Werte
No parameters defined.;Keine Parameter definiert.
Set name;Name festlegen
Add new set;Neues Set hinzufügen
Delete parameter set;Parameter-Set löschen
Do you want to delete selected parameter set?;Möchtest du das ausgewählte Parameter-Set löschen?
Name;Name
Parameters of type 'value' cannot be modified.;Parameter vom Typ 'Wert' können nicht verändert werden.
Symbol parameter cannot be modified;Symbolparameter können nicht verändert werden.
You must check at least one option;Du musst mindestens eine Option auswählen
Fixed value must be set;Fester Wert muss festgelegt werden
Parameter set '%s' already exists. Please choose another name;Parameter-Set '%s' existiert bereits. Bitte wähle einen anderen Namen
All charts;Alle Charts
shift;Shift
period;Periode
SL Value;SL Wert
SL ATR Multiple;SL ATR Faktor
SL ATR Period;SL ATR Periode
PT Value;PT Wert
PT ATR Multiple;PT ATR Faktor
PT ATR Period;PT ATR Periode
value;Wert
Edit parameter;Parameter bearbeiten
Parameter;Parameter
Randomly generated;Zufällig generiert
Fixed value;Fester Wert
Minimum;Minimum
Global;Global
Custom;Benutzerdefiniert
Maximum;Maximum
Global Minimum and Maximum can be configured in;Globales Minimum und Maximum kann konfiguriert werden in
What to build -> Additional build config;Was generieren? -> Zusätzliche Generierungseinstellungen
Step;Schritt
All available charts;Alle verfügbaren Charts
or pick only specific charts below:;oder wähle unten nur bestimmte Charts aus:
Value;Wert
Edit parameter set;Parameter-Set bearbeiten
Block:;Block:
Parameter set options;Parameter-Set Optionen
Delete set;Set löschen
Parameters configuration;Parameterkonfiguration
Double click on a parameter row to edit it;Doppelklicke zum Bearbeiten auf eine Parameterzeile
Date from must be before date to;Datum von muss früher sein als Datum bis
Main chart;Hauptchart
Symbol;Symbol
Start day;Starttag
End day;Endtag
Trading engine;Trading-engine
Engine;Engine
Additional charts;Zusätzliche Charts
these are additional charts that strategy has access to;dies sind zusätzliche Charts, auf die die Strategie Zugriff hat
Backtest data settings;Backtestdaten-Einstellungen
Timeframe;Timeframe
Reset dates;Datum zurücksetzen
Available from;Verfügbar von
to;bis
Subcharts;Untercharts
Test parameters;Testparameter
Precision;Präzision
Commision;Kommission
Spread;Spread
Slippage;Slippage
Min. distance;Min. Distanz
Commission settings;Kommissions-Einstellungen
Commission is in $ per full lot. It is computed according to the size of order.;Kommission ist in $ pro ganzes Lot. Sie wird entsprechend zur Tradegröße berechnet.
Subchart;Unterchart
From backtest;Von Backtest
At confidence level;Auf Verlässlichkeitsniveau
Subresult;Unterergebnis
Sample type;Sampletyp
Full sample;Vollständiger Zeitraum
In sample;In Sample
Out of sample;Out-of-sample
Direction;Richtung
Both;Beide
Long;Long
Short;Short
Result in;Ergebnis in
Money;Geld
Percent;Prozent
Pips;Pips
Every market;Alle Märkte
Market %s;Markt %s
IS;IS
OOS;OOS
Ticks;Ticks
Add conditions;Bedingungen hinzufügen
Choose conditions to add;Bedingungen zum hinzufügen auswählen
Constants;Konstanten
Use;Verwenden
Left value;Linker Wert
Right value;Rechter Wert
No conditions defined.;Keine Bedingungen definiert.
this;dies
Value '%s' has invalid number format.;Wert '%s' hat ungültiges Zahlenformat.
Search for condition;Bedingung suchen
No results matching;Keine übereinstimmenden Ergebnisse
Edit condition;Bedingung bearbeiten
Apply percentage ratio;Prozentsatz anwenden
Percentage ratio allows you to compare one value;Prozentsatz lässt dich einen Wert vergleichen
Settings;Einstellungen
Choose config;Konfiguration wählen
No config files found;Keine Konfigurationsdateien gefunden
Reset to default settings;Auf Standardeinstellungen zurücksetzen
Tasks Flow;Aufgabenverlauf
Results;Ergebnisse
XML Config Files;XML Konfigurationsdateien
Reset task settings;Aufgabeneinstellungen zurücksetzen
Do you want to reset task settings? <br>Any unsaved changes will be lost.;Möchtest du die Aufgabeneinstellungen zurücksetzen? <br>Alle nicht gespeicherten Änderungen gehen verloren.
Load xml config;XML-Konfiguration laden
Do you want to load config from selected file? <br>Any unsaved changes will be lost.;Möchtest du die Konfiguration aus der ausgewählten Datei laden? <br>Alle nicht gespeicherten Änderungen gehen verloren.
Save template config;Konfigurationsvorlage speichern
Do you want to save this config into the template? <br>Original template config will be overwritten.;Möchtest du diese Konfiguration in eine Vorlage speichern? <br>Ursprüngliche Konfigurationsvorlage wird überschrieben.
Save config;Konfiguration speichern
Select config file to load;Konfigurationsdatei zum Laden auswählen
Retester;Retester
Builder;Generator
Optimizer;Optimierer
Custom Project;Benutzerdefiniertes Projekt
Date is out of range;Datum liegt außerhalb des Bereichs
Date;Datum
Since last date;Seit letztem Datum
Last 6 months;Letzte 6 Monate
Last year;Letzten Jahr
Last 5 years;Letzte 5 Jahre
Last 10 years;Letzte 10 Jahre
All time;Gesamter Zeitraum
Loading directory picker root folders failed.;Laden der Wurzelverzeichnisse aus Verzeichnisauswahl fehlgeschlagen.
Path:;Pfad:
Select;Auswählen
instrument;Instrument
Choose instrument;Instrument auswählen
Instrument is a specification of this symbol - it contains tick size, point value etc.;Instrument ist eine Spezifizierung des Symbols - es enthält Tickgröße, Punktwert usw.
You can have mutiple data imported - for example EURUSD_1, EURUSD_2, EURUSD_3, but they share the same instrument specification for EURUSD.;Es können mehrere Datenreihen importiert werden - z.B. EURUSD_1, EURUSD_2, EURUSD_3, aber sie teilen alle die Instrumentenspezifikation für EURUSD.
Instrument *;Instrument *
Add new instrument;Neues Instrument hinzufügen
Instrument added;Instrument hinzugefügt
Instrument modified;Instrument bearbeitet
Data type *;Datenyp *
Point value in $ *;Punktwert in $ *
Pip/Tick size *;Pip-/Tickgröße *
Pip/Tick step *;Pip-/Tickschritt *
Default spread *;Standard-Spread *
Optional fields;Optionale Felder
Select conditions;Bedingungen auswählen
Or choose from frequently used;Oder wähle aus häufig verwendeten
Add;Hinzufügen
Item '%s' not found;Element '%s' nicht gefunden
Select items;Elemente auswählen
Add items;Elemente hinzufügen
Choose items to add;Elemente zum Hinzufügen auswählen
Manage views;Ansichten verwalten
Select view;Ansicht auswählen
Add new;Neue hinzufügen
Default view cannot be modified. Please choose another view or clone the default view to edit it;Standardansicht kann nicht bearbeitet werden. Bitte wähle eine andere Ansicht oder klone die Standardansicht, um sie zu bearbeiten.
Edit selected view;Ausgewählte Ansicht bearbeiten
View name;Name der Ansicht
Columns in view;Spalten in Ansicht
Use drag and drop to change columns order;Spaltenreihenfolge per Drag&Drop ändern
Add columns;Spalten hinzufügen
Save view changes;Ansichtsänderungen speichern
Cannot remove the default view;Standardansicht kann nicht entfernt werden
Deleting view;Lösche Ansicht
Do you really want to delete selected view?;Möchtest du die ausgewählte Ansicht wirklich löschen?
New view;Neue Ansicht
Cannot change the default view;Standardansicht kann nicht geändert werden
Changes not saved. Do you want to save them?;Änderungen nicht gespeichert. Möchtest du sie speichern?
Start;Start
End;Ende
ID;ID
No Parameters available.;Keine Parameter verfügbar.
Cannot get variable on row;Spaltenvariable kann nicht abgerufen werden
Invalid input for type '%s';Ungültige Eingabe für Typ '%s'
Zero step used at row %d. Please correct the step value or leave the parameter unchecked.;Null-Schritt verwendet bei Reihe %d. Bitte korrigiere den Schrittwert oder lasse den Parameter unverwendet.
Invalid values logic at row %d. Please correct the start/stop/step values.;Ungültige Wertelogik bei Reihe %d. Bitte korrigiere die Start-/Stop-/Schritt-Werte.
Periods;Perioden
Shifts;Shifts
Exits / Protection;Ausstiege / Schutz
Exits / Unused;Ausstiege / Unverwendet
Default;Voreinstellung
Cannot find ManualSettings object in task config. XML config seems to be corrupted;ManualSettings-Objekt in Aufgabenkonfiguration nicht gefunden. XML-Konfiguration scheint fehlerhaft zu sein
Cannot find ManualSettings object in selected file. Have you selected the right config file?;ManualSettings-Objekt in ausgewählter Datei nicht gefunden. Ist die richtige Konfigurationsdatei ausgewählt?
Cannot save settings. Parameters element not found in xml config.;Einstellungen können nicht gespeichert werden. Parameter-Element in XML-Konfiguration nicht gefunden.
Cannot save settings. ManualSettings element not found in xml config.;Einstellungen können nicht gespeichert werden. ManualSettings-Element in XML-Konfiguration nicht gefunden.
Save variables settings;Variableneinstellungen speichern
Pause;Pause
Resume;Fortfahren
Saving strategies;Speichere Strategien
Removing strategies;Entferne Strategien
Changing databank type;Ändere Datenbank-Typ
Updating databank;Aktualisiere Datenbank
Moving strategies to retester;Verschiebe Strategien zum Retester
Action - %s;Aktion - %s
Expected integer value;Erwarteter Ganzzahl-Wert
Expected numeric value;Erwarteter numerischer Wert
Property grid error. No properties found;Eigenschaftennetz-fehler. Keine Eigenschaften gefunden
Property grid error. No categories found;Eigenschaftennetz-fehler. Keine Kategorien gefunden
Properties error. Cannot get options for property '%s';Eigenschaftenfehler. Kann Optionen für Eigenschaft '%s' nicht abrufen
Properties error. Unknown data type '%s';Eigenschaftenfehler. Unbekannter Datentyp '%s'
Error saving settings. Cannot get parameter type of dataType '%s';Fehler beim Speichern der Einstellungen. Kann Parametertyp des Datentyps '%s' nicht abrufen
L+S;L+S
Lng;Lng
Shr;Shr
Sample;Sample
Full;Vollständig
Target file path;Ziel-Dateipfad
Directory;Verzeichnis
Browse;Durchsuchen
File name;Dateiname
Select target folder;Zielverzeichnis auswählen
Filter items;Elemente filtern
Advanced settings;Erweiterte Einstellungen
for;für
Create some tasks first;Erstelle zuerst Aufgaben
{{tab.translatedTitle}};{{tab.translatedTitle}}
cope.in;cope.in
Cross checks (strategy robustness tests);Cross-Checks (Strategie-Robustheits-Tests)
Cross checks perform additional backtests on the generated strategy;Cross-Checks führen zusätzliche Backtests der generierten Strategie aus
Learn more;Mehr lernen
Disable all cross checks;Alle Cross-Checks deaktivieren
Est. time per strategy;Geschätzte Zeit pro Strategie
of;von
checks;Checks
FAST;SCHNELL
SLOW;LANGSAM
VERY SLOW;SEHR LANGSAM
CUSTOM;BENUTZERDEFINIERT
Out of sample:;Out-of-sample:
ranges;Bereiche
Symbol '%s' doesn't exist;Symbol '%s' existiert nicht
Instrument '%s' doesn't exist;Instrument '%s' existiert nicht
Minimum value is;Minimalwert ist
Maximum value is;Maximalwert ist
Calling unknown action '%s';Rufe unbekannte Aktion '%s' ab
Regeneration failed.;Regenerierung fehlgeschlagen.
Cannot apply config to task '%s'. Invalid source task.;Konfiguration kann nicht auf Aufgabe '%s' angewandt werden. Ungültige Quellaufgabe.
