Ranking;Hodnocení
Define how strategy rank is computed and how many strategies to save to databank.<br/>If filtering is available you can configure filters the strategy has to pass before it is saved.;Definovat, jak je hodnocení strategie počítáno a kolik strategií chcete uložit do databanky. <br/>Můžete nastavit také filtry, které musí strategie splnit před tím, než se uloží.
What to retest;Co retestovat
Configure databank settings;Konfigurovat nastavení databanky
Clone to timezone;Klonovat do časového pásma
Mass delete;Hromadné smazání
Export to MT4 (FXT & HST);Export do MT4 (FXT & HST)
Export to MT5 data (99% test);Export do MT5 dat (99% test)
View & Analyze;Prohlížet a analyzovat
Add new Dukascopy data symbol;Přidat nový Dukascopy datový symbol
Dukascopy Data Disclaimer;Dukascopy Data Disclaimer
Download data for existing symbol;Stahovat data pro existující symbol
Import data from TickDownloader;Import dat z TickDownloader
Import file;Import souboru
3D Optimization Chart;3D optimalizační graf
Add instrument;Přidat nástroj
Add session;Přidat seanci
Additional backtest;Dodatečný backtest
Add backtest;Přidat backtest
Main test precision;Přesnost hlavního testu
Main test spread;Spread pro hlavní test
Cross check precision;Cross check přesnost
Cross check spread;Cross check spread
Walk-Forward type:;Walk-Forward typ:
Floating;Plovoucí
Optimize:;Optimalizovat:
Maximum tests:;Maximální počet testů:
you can limit the number of tests WF optimization performs, and thus limit its duration;můžete omezit počet zkoušek WF optimalizace, a tím omezit jeho trvání
Strategy dismissal stats;Statistiky zamítnutých strategií
Total test times per elements;Celková doba testu / položky
Total backtests performed (global);Celkem provedeno backtestů (globálně)
Auto scroll;Automatické rolování
Clear log on start;Vymazat log při spuštění
Rejected;Odmítnuto
Detailed;Detailní
Accepted;Přijato
Time per strategy;Čas na strategii
Time per accepted strategy;Čas na přijatou strategii
Accepted strategies per hour;Přijatých strategií za hodinu
Running time so far;Celková doba běhu
In databank;V databance
Total steps;Celkový počet kroků
Template;Šablona
Strategy is not a portfolio.;Strategie není portfolio.
Correlation by;Korelace podle
Correlation of;Korelace
Allow negative correlation;Dovolit negativní korelaci
Add empty periods;Přidat prázdná období
Compute;Vypočítat
Strategy doesn't have Monte Carlo tests stored.;Strategie nemá uložené testy Monte Carlo.
Test choice;Volba testu
Source code type;Typ zdrojového kódu
MM used;Použitý MM
Put values to variables;Převést hodnoty do proměnných
Generate symmetric variables;Generování symetrických proměnných
No strategy selected.;Nevybrána žádná strategie.
Strategy doesn't contain any setting.;Strategie neobsahuje žádná nastavení.
Walk-Forward Optimization and Matrix Help;Nápověda pro Walk-Forward optimalizaci a Matrix
Robustness score;Skóre robustnosti
Number of Walk-Forward Optimization that passed;Počet Walk-Forward a optimalizací, které prošly
Filter settings;Nastavení filtru
Robustness score is computed as a % of conditions that passed vs. all conditions;Robustnost skóre se počítá jako % podmínek, které prošly vs. všech podmínek
Display settings;Nastavení obrazovky
Top View;Pohled shora
Display options;Volby zobrazení
If you define any conditions here they will be evaluated after this cross check is computed.;Máte-li definovat podmínky, zde budou vyhodnoceny po dokončení tohoto Cross check testu.
If strategy fails these conditions, it will be dismissed (thrown away) and no further cross check will be evaluated.;Pokud strategie nesplní tyto podmínky, bude zamítnuta (zahozena) a žádná další Cross check kontrola nebude vyhodnocena.
Robustness score must be >;Robustnost skóre musí být >
% to pass;% projít
WF Matrix produces a table of X rows and Y columns, where each cell is a different WF optimization test.;WF Matrix vytváří tabulku X řádků a Y sloupců, kde každá buňka je jiný test WF optimalizace.
Filter passes when it finds an area of;Filtr je splněn, pokud nalezne oblast
results have robustness score >;Výsledky mají robustnost skóre >
Cross check;Cross check
Basic (fast);Základní (rychle)
Cross Check Settings;Nastavení Cross check testu
Filters;Filtry
These cross checks require none or only one additional backtest, so they are fast.;Tyto Cross check testy vyžadují žádný nebo jen jeden další backtest, takže jsou rychlé.
Standard (slow);Standard (pomalé)
Cross checks that require multiple additional backtests, thus multiplying the time of processing the whole strategy.;Cross check testy, které vyžadují řadu dalších backtestů, tedy vynásobením času potřebného na test celé strategie.
Extensive (slowest);Rozsáhlé (nejpomalejší)
Walk-Forward process is very slow, it requires tens or even hundreds of repeated backtests of the strategy in different time ranges and settings.;Walk-Forward proces je velmi pomalý, vyžaduje desítky nebo dokonce stovky opakovaných backtestů strategie v různých časových úsecích a nastavení.
Delete strategies in databank;Odstranit strategie v databance
Copy from one databank to another;Kopírovat z jedné databanky do druhé
Move from one databank to another;Přesouvat z jedné databanky do druhé
Databanks;Databanky
Conditions;Podmínky
Apply to strategies that fit the conditions below;Platí pro strategie, které odpovídají níže uvedeným podmínkám
Ignore strategies that fit the conditions below, apply to all others;Ignorovat strategie, které vyhovují podmínkám níže, použít na všechny ostatní
Choose condition;Zvolit podmínku
Condition parameters;Parametry podmínky
Databank:;Databanka:
Comparison:;Srovnání:
Value:;Hodnota:
No tasks defined.;Žádné definované úkoly.
When Conditions Below Are True;Jsou-li splněny podmínky níže
If no conditions exist then it is evaluated as true;Pokud neexistují žádné podmínky, pak je vyhodnoceno jako pravdivé
Notification type;Typ oznámení
Send email to;Poslat e-mail
Notification allows you to be notified when project flow gets to a certain point.;Oznámení umožňuje, abyste byli upozorněni, jakmile se projekt dostane do určitého bodu.
Pause project and wait for user action;Pozastavit projekt a čekat na akci uživatele
If checked the project will pause until you unpause it. This lets you do manual filtering of strategies or review of the project process.;Pokud je zatrženo projekt se pozastaví, dokud jej znovu nespustíte. To umožňuje provádět ruční filtrování strategií nebo revizi celého procesu.
Retest all strategies from databank;Znovu retestovat všechny strategie z databanky
and store results in databank;a ukládat výsledky do databanky
If you choose a different databank to store the retested results, the strategies will be copied to the destination databank;Pokud zvolíte jinou databanku pro uložení re-testovaných výsledků budou strategie zkopírovány do cílové databanky
Confidence level;Úroveň spolehlivosti
Clone to Timezone for;Klonovat do časového pásma pro
Clone to Timezone creates a copy of the source data with all times recomputed in a different timezone.;Klonovat do časového pásma vytvoří kopii zdrojových dat přepočítaných v jiném časovém pásmu.
"This way you can use one source data to create multiple ""clones"", each in its own timezone.";Tímto způsobem můžete použít jeden zdroj dat pro vytvoření více „klonů“, každý v jiném časovém pásmu.
Data settings;Nastavení dat
Source data symbol name;Název symbol zdrojových dat
Source data timezone;Časové pásmo zdrojových dat
Cloned data symbol name;Název symbolu klonovaných dat
Cloned data timezone;Časové pásmo klonovaných dat
add fixed shift;přidat pevný posun
choose timezone;zvolit časové pásmo
Remove weekends;odebrat víkendy
Proceed;Pokračovat
Export data for;Export dat pro
Choose data range to export;Zvolit rozsah dat pro export
Select timeframe;Vybrat časový rámec
Select target file;Vybrat cílový soubor
Export;Export
Please note that MT4 has file-size limit of maximum 4GB, it won't be able to process bigger data files.;Upozorňujeme, že MT4 má limit pro velikosti souboru 4 GB. Větší soubory nebudou zpracovány.
Output folder;Výstupní složka
MT4 Installation;MT4 instalace
MT4 Data Folder;MT4 složka dat
Server name;Název serveru
Name in MT4;Název v MT4
Load other MT4 data specification file;Načíst další MT4 specifikace datového souboru
Start export;Začít export
Export to MT5 data (99% history quality) for;Export do MT5 dat (99% kvalita) pro
Select timeframe to export;Vybrat časový rámec pro export
Tick data;Ticková data
M1 data;1-minutová data
Use fixed spread;Použít fixní spread
User real spread from Tick data;Použít realný spread z tickových dat
session;Seance
Session End Means EOD;Konec seance EOD
session template;Šablona seance
Session name;Název seance
Add Mon-Fri;Přidat Po-Pá
Remove;Odstranit
Note: Session times are based on exchange;Poznámka: časy seance jsou definovány burzou
Add Dukascopy data;Přidat data Dukascopy
Choose from available data;Vyberte si z dostupných dat
Show types;Zobrazit typy
Data postfix {Symbol};Data přípona {Symbol}
This postfix will be optionally added to the data names created;Tato přípona se přidá k názvům dat
StrategyQuant CDN Data Disclaimer;StrategyQuant CDN Data Disclaimer
Disclaimer;Disclaimer
In order to provide faster downloads for its clients StrategyQuant offers pre-packaged Dukascopy data for some of the symbols on its own CDN servers.;S cílem poskytnout rychlejší stahování dat pro své klienty StrategyQuant nabízí předinstalované Dukascopy data pro některé symboly na svých vlastních CDN serverech.
The data availabe on SQ CDN were created from original Dukascopy data obtained from Dukascopy website. StrategyQuant does not guarantee that the data prepared on its CDN servers exactly match Dukascopy data.;Data dostupná na SQ CDN byly vytvořeny z původních dat získaných z Dukascopy. StrategyQuant nezaručuje, že data sestavená na jeho CDN serverech přesně odpovídají údajům o Dukascopy.
"The data are provided ""AS IS"", ""AS AVAILABLE"", ""WITH ALL ITS FAULTS"" and is offered without any covenants or any express, implied or statutory warranties including (without limitation and qualification) any warranties as to accuracy, functionality, performance, merchantability, quiet enjoyment, system integration, data accuracy or fitness for any particular purpose and any warranties arising from trade usage, course of dealing or course of performance.";Data jsou poskytována tak jak jsou, včetně případných chyb a jsou nabízena bez jakýchokoliv závazků nebo záruk včetně záruk s ohledem na přesnost, funkčnost, výkonnost, zpeněžitelnost, systémovou integraci nebo jakýkoliv další účel.
Download Dukascopy data for;Stahovat data Dukascopy pro
Choose data range to download;Zvolit rozsah dat ke stažení
Redownload options;Možnosti redownloadu
Add only missing data;Přidejte pouze chybějící data
Overwrite existing data;Přepsat existující data
Fast download from StrategyQuant CDN (10 x faster download);Rychlé stahování z StrategyQuant CDN (10 x rychlejší stahování)
If on, Dukascopy data will be downloaded from prepared packages on StrategyQuant CDN servers.;Pokud jsou k dispozici, budou Dukascopy data stažena z připravených balíků uložených na StrategyQuant CDN serverech.
Please not that pre-prepared packages are available only for part of the data.;Upozorňujeme, že předem připravené balíčky jsou k dispozici pouze pro část dat.
StrategyQuant CDN data disclaimer;StrategyQuant CDN data disclaimer
Start download;Začít stahovat
Import data from TickDownloader for;Import dat z TickDownloader pro
If you have TickDownloader installation you can import the data directly from the TD downloaded data folders.;Máte-li nainstalován TickDownloader můžete importovat data přímo z TD datové složky.
Please select your TickDownloader installation folder below.;Vyberte prosím níže svou instalační složku TickDownloader.
TickDownloader Installation;TickDownloader instalace
Start import;Spustit import
Data symbol name;Název symbolu
Data import for;Import dat pro
Choose file;Vyberte soubor
Data file;Datový soubor
Imported data timezone;Časové pásmo importovaných dat
Imported timeframe;Importovaný časový rámec
File format;Formát souboru
Predefined file format;Předdefinovaný formát souboru
Date format;Datový formát
DATABANKS;DATABANKY
STRATEGIES;STRATEGIE
Project config;Konfigurace projektu
Period by;Období od
Edit block;Editovat blok
Randomly choose 100 blocks;Náhodně vybere 100 bloků
Add 10 random blocks;Přidat 10 náhodných bloků
Edit possible options;Editovat možné varianty
Hide chart;Skrýt graf
Show chart;Zobrazit graf
Add OOS;Přidat OOS
Population Size (per island);Velikost populace (na ostrov)
Islands options;Nastavení ostrovů
Islands (separate evolution);Ostrovy (samostatné evoluce)
Migrate every Xth generation, X =;Migrovat každou X. generaci, X =
How often (in generations) should the migration be performed?;Jak často (v generacích) by měla být migrace provedena?
Recommended value is 5, 10 or more generations.;Doporučená hodnota je 5, 10 nebo více generací.
Population migration rate;Míra migrace populace
Percentage of individuals in a population that will be migrated.;Procento jedinců v populaci, které budou přeneseny.
Recommended value is 5-10%.;Doporučená hodnota je 5-10%.
Initial population generation;Generování počáteční populace
Use strategies from Initial population databank as evolution start;Používat strategie z počáteční populace pro evoluci
Required size;Požadovaná velikost
if not used or not enough, rest will be generated;Pokud není použito nebo není dostatek, další budou generovány
Generated decimation coefficient;Koeficient decimace
Filter generated initial population;Filtrovat počáteční populaci
Restart evolution if fitness of;Restart evoluci, pokud fitness
Choose initial capital;Zvolit počáteční kapitál
Initial capital;Počáteční kapitál
Select strategy file;Vybrat soubor strategie
All strategies in databank;Všechny strategie v databance
Optimization settings;Nastavení optimalizace
Walk - Forward optimization;Walk-Forward optimalizace
Store all optimizations into databank;Ukládat všechny optimalizace do databanky
Store only best optimization;Ukládat pouze nejlepší optimalizace
;
special parameter relation;speciální parametr
Simple comparison;Jednoduché srovnání
Comparison;Srovnání
Is between;Je mezi
is between;je mezi
and;a
If - Then;Jestliže - pak
If;Jestliže
Then;Pak
Parameter settings;Nastavení parametrů
What to parametrize:;Co parametrizovat:
settings;nastavení
Maximum optimizations:;Maximálně optimalizací:
Total parameters combinations:;Celkem kombinace parametrů:
% distribution;% rozdělení
Maximum steps:;Maximální počet kroků:
Special parameter relations;Zvláštní vztahy parametrů
Select/unselect all;Vybrat / zrušit výběr všech
Entry rules;Pravidla pro vstup
Exit rules;Pravidla pro výstup
Note - If you want to change symmetry of entry or exit block, you can do it in What to build tab.;"Poznámka - Chcete-li změnit symetrii vstupního nebo výstupního bloku, můžete tak učinit na kartě ""Co stavět""."
Strategy Quality ranking (fitness);Hodnocení strategie (fitness)
Compute from;Vypočítat z
Configure automatic filter;Nastavení automatického filtru
Automatic filter should be used to dismiss strategies that are obviously wrong, for example don't;Automatický filtr by měl být použit k odstranění strategií, které jsou zjevně nesprávné, například
Dismiss strategies with these problems:;Zahodit strategie s těmito problémy:
Select all / Deselect all;Vybrat vše / Zrušit výběr
Maximum top strategies to store;Maximální počet nejlepších strategií k uložení
Maximum strategies to store in databank;Maximálně strategií v databance
Stop generation when;Zastavit generování pokud
Never;Nikdy
Totally;Úplně
strategies (that passed filters) were generated;strategie (které prošly filtry) byly vytvořeny
Databank is full (reached maximum capacity);Databanka je plná (dosaženo maximální kapacity)
Strategy filtering conditions;Podmínky filtrování strategií
Configure which strategies will be saved into Results databank;Konfigurovat, které strategie se uloží do databanky
Automatic filters;Automatické filtry
Configure automatic dismissal;Konfigurace automatické vyřazování
Custom filters;Vlastní filtry
Cross check filters;Cross check filtry
In addition to global filters you can filter out strategy also in cross checks.;Kromě globálních filtrů lze vyfiltrovat strategie také pomocí Cross check testů.
These filters are configured separately in every cross check method used.;Tyto filtry jsou konfigurovány zvlášť v každé použitém Cross check testu.
Filter;Filtr
Output databank;Výstupní databanka
Strategy type;Typ strategie
Simple strategy [default];Jednoduchá strategie [výchozí]
Simple strategy running on one symbol and timeframe;Jednoduchá strategie běží na jednom symbolu a časovém rámci
Multi-TF or multi-symbol strategy;Multi-TF nebo multi-symbol strategie
Strategy looking at main chart and;Strategie pro hlavní graf a
additional charts. These can be just another timeframes of original chart or totally different symbols/TFs.;další grafy. Může se jednat o další časové rámce původního symbolu nebo zcela odlišné symboly / TFS.
It trades only on the main chart.;Obchoduje pouze na hlavním symbolu.
Strategy from template;Strategie ze šablony
Strategy created from the template;Strategie vytvořené ze šablony
Improve some parts of existing strategy / strategies;Zlepšit některé části stávající strategie / strategií
Improve all strategies in databank;Zlepšení všech strategií v databance
Additional build config;Dodatečná nastavení
Use predefined config or create your own in advanced settings;Použijte předdefinovanou konfiguraci nebo si vytvořte vlastní v pokročilých nastaveních
Trend following;Trend following strategie
Mean reversal;Mean reversal strategie
Fuzzy;Fuzzy
Daily;Daily strategie
Custom config;Vlastní konfigurace
Go to advanced settings;Jít do pokročilých nastavení
Optimization type;Typ optimalizace
Walk-forward;Walk-Forward
Walk-forward matrix;Walk-Forward matrix
Out of sample %;Out of Sample %
Walk Forward runs;Walk-forward běhy
Correlation based on;Korelace založené na
by;podle
Correlation;Korelace
between;mezi
Number of overlapping trades;Počet překrývajících obchodů
Build mode;Režim stavění
random generation of strategies without evolution;náhodná generace strategií bez evoluce
Conditions to generate;Podmínky ke generování
Global Shift (lookback period);Globální posun (shift)
Global Indicators period;Globální perioda indikátorů
Use different settings for every chart;Používat různá nastavení pro každý graf
Is it required?;Je to nutné?
Profit target is required;Profit Target je vyžadován
Profit target size;Velikost Profit Targetu
Use same ranges as for Stop loss;Používat stejné rozsahy jako pro Stop Loss
Min:;Min:
Max:;Max:
Fixed pips;Pevné pips
ATR-based;podle ATR
ATR Period;ATR perioda
Limit Risk-Reward (SL vs PT) ratio?;Omezit RRR (SL vs PT) poměr?
Yes, Profit Target will be from;Ano, Profit Target bude od
% to;% až
% of Stop loss size;% Stop velikosti ztrát
Stop loss is required;Stop Loss je vyžadován
Stop loss size;Velikost Stop Loss
Strategy style;Styl strategie
SQX Signals Style;SQX styl
SQX Signals Style with Fuzzy Logic;SQX styl s fuzzy logikou
Minimum % of true conditions;Minimální % platných podmínek
Old SQ3 Style;Původní SQ3 styl
Strategy directions;Směry strategie
Entry Symmetry;Vstupní symetrie
Exit Symmetry;Výstupní symetrie
Data sources;Zdroje dat
Welcome to StrategyQuant X;Vítejte ve StrategyQuant X
StrategyQuant is a powerful strategy development platform that uses machine learning techniques and genetic programming to automatically generate new automated trading systems for any market or timeframe.;StrategyQuant je mocný nástroj pro vývoj strategií, která používá techniky strojního učení a genetického programování pro automatické generování nových automatizovaných systémů obchodování na jakémkoliv trhu nebo časovém rámci.
Start building new strategies by clicking on the button below.;Začněte stavět nové strategie kliknutím na tlačítko níže.
Start Building Strategies;Začít stavět strategie
Getting started with StrategyQuant;Začínáme se StrategyQuant
Post-installation steps;Post-instalační kroky
How StrategyQuant works;Jak funguje StrategyQuant
Getting started with the program;Začínáme s programem
Recommended workflow;Doporučený pracovní postup
User's Guide in PDF;Uživatelská příručka ve formátu PDF
Added mini charts to databank for quick equity curve preview.;Přidané mini-grafy do databanky pro rychlý náhled equity křivky.
Improved configuration of conditions and views - now it is possible to choose data also from cross checks.;Vylepšené nastavení podmínek a přehledů - nyní je možné vybrat údaje také z Cross check metod.
Fixed parts of code that could lead to Java crash, internal browser component upgraded to 64-bit version.;Opravené části kódu, které mohly vést k Java chybám, vnitřní komponenty prohlížeče upgradované na 64bitovou verzi.
Added automatic detection of the same strategies during genetic evolution.;Přidána automatická detekce stejných strategií při genetické evoluci.
Fixed numerous other reported issues.;Opravy dalších hlášených problémů.
Please check;Prosím zkontrolujte
Roadmap;Plán
for complete changelog of this release.;pro kompletní seznam změn této verze.
Condition that is always true.;Podmínka, která je vždy splněna.
Date of bar (in broker time), comparable with GetDate() function;Datum úsečky (čas serveru), porovnatelné s GetDate() funkcí
Sunday=0,Monday=1,Tuesday=2,Wednesday=3,Thursday=4,Friday=5,Saturday=6;Neděle = 0, pondělí = 1, úterý = 2, středa = 3, čtvrtek = 4, pátek = 5, sobota = 6
Time of given bar;Čas dané úsečky
Current date (in broker time), comparable with GetDate() function;Aktuální datum (čas serveru), což je srovnatelné s getDate() funkci
Current day of week (in broker time). Sunday=0,Monday=1,Tuesday=2,Wednesday=3,Thursday=4,Friday=5,Saturday=6;Aktuální den v týdnu (čas serveru). Neděle = 0, pondělí = 1, úterý = 2, středa = 3, čtvrtek = 4, pátek = 5, sobota = 6
Current hour (in broker time);Aktuální hodina (čas serveru)
Current minute (in broker time);Aktuální minuta (čas serveru)
Current time (in broker time);Aktuální čas (čas serveru)
Is triggered on bar open. This happens only once during the bar, so you can use this condition for strategies that should open the trade only on bar opening.;Se spustí při otevření úsečky. To se stane jen jednou, takže můžete použít tuto podmínku pro strategie, které by měly otevřít obchod pouze při otevření úsečky.
Is triggered when BearishEngulfing pattern is formed;Se spustí, když je tvořen BearishEngulfing pattern
Is triggered when BullishEngulfing pattern is formed;Se spustí, když je tvořen BullishEngulfing pattern
Is triggered when DarkCloud pattern is formed;Se spustí, když je tvořen DarkCloud pattern
Is triggered when Doji pattern is formed;Se spustí, když je tvořen Doji pattern
Is triggered when Hammer pattern is formed;Se spustí, když je vytvořen kladivo pattern
